short_const,parameter,Cum._min,Cum._mean,Cum._sd,Cum._max,Cum._p,Weekly_min,Weekly_mean,Weekly_sd,Weekly_max,Weekly_p
Free,V95,-2.93,-0.55,0.851,-0.0531,0.0716,-3.5,-0.919,0.916,0,9.34E-11
Iso,V95,-3.13,-0.78,1.13,-0.0266,0.0573,-5.02,-0.971,1.06,-0.0647,1.31E-09
Free,V98,-4.32,-1.5,1.59,1.01,0.0156,-5.93,-2.46,1.8,1.29,1.58E-15
Iso,V98,-4.65,-1.73,1.8,0.735,0.0139,-8.43,-2.37,1.79,1.1,5.3E-15
Free,V107,-1.46,3.98,4.6,13.8,0.0231,2.47,10.3,5.78,30,1.6E-20
Iso,V107,-1.52,4.19,6.06,18.5,0.0566,1.53,9.8,6.18,31.1,3.46E-18
Free,V110,-0.279,0.318,0.723,2.12,0.198,-0.138,1.99,2.42,11.8,2.29E-08
Iso,V110,-0.273,0.887,1.91,6.03,0.176,-0.204,2.06,3.12,16.6,3.08E-06
Free,D98,-4.17,-1.43,1.48,0.667,0.0135,-6.5,-2.19,1.61,0.833,1.9E-15
Iso,D98,-6,-1.72,1.98,0.5,0.0225,-12.2,-2.28,1.99,0.667,1.18E-12
Free,D2,-0.667,1.07,1.24,3.17,0.0236,0.667,2.75,1.54,7.5,1.63E-20
Iso,D2,-0.667,1.32,1.9,6.17,0.0566,0.667,2.85,2.46,16.7,8.8E-13
