parameter,short_const,Cum._min,Cum._mean,Cum._sd,Cum._median,Cum._IQR,Cum._max,Weekly_min,Weekly_mean,Weekly_sd,Weekly_median,Weekly_IQR,Weekly_max
V95,Plan,99.6,99.9,0.1,99.9,0.0,100.0, NA, NA, NA, NA, NA, NA
V95,Free,96.7,99.4,0.9,99.7,0.2,99.9,96.1,99.0,1.0,99.4,0.6,100.0
V95,Iso,96.8,99.1,1.2,99.7,0.4,100.0,94.9,98.9,1.1,99.4,0.7,99.9
V95,None,84.0,94.1,5.2,95.6,7.3,99.4,79.2,93.9,5.2,95.2,8.0,100.0
V98,Plan,97.2,98.9,1.0,99.4,1.4,100.0, NA, NA, NA, NA, NA, NA
V98,Free,93.1,97.4,1.7,98.2,0.8,98.6,92.1,96.4,1.8,97.2,2.6,98.5
V98,Iso,93.1,97.2,2.0,98.0,1.8,99.0,90.6,96.5,1.9,97.4,2.0,98.4
V98,None,71.4,87.3,9.4,89.2,14.8,97.7,63.7,86.0,9.0,87.5,13.4,99.5
V107,Plan,0.2,2.4,1.9,2.4,3.2,5.2, NA, NA, NA, NA, NA, NA
V107,Free,0.5,6.4,4.7,5.1,3.7,14.5,5.2,12.8,5.8,12.0,8.4,30.6
V107,Iso,0.4,6.6,6.2,4.1,7.5,19.2,4.6,12.3,6.4,9.8,9.9,31.7
V107,None,0.1,6.3,5.9,4.9,6.2,19.5,0.8,9.0,5.0,8.3,5.3,26.1
V110,Plan,0.0,0.1,0.1,0.0,0.0,0.3, NA, NA, NA, NA, NA, NA
V110,Free,0.0,0.4,0.7,0.1,0.2,2.1,0.0,2.1,2.4,1.1,2.5,11.8
V110,Iso,0.0,0.9,1.9,0.0,1.1,6.0,0.1,2.1,3.1,0.6,2.9,16.6
V110,None,0.0,1.1,1.3,0.6,1.1,3.8,0.0,2.2,2.4,1.8,1.6,15.2
D98,Plan,97.5,98.9,1.0,99.1,1.3,100.3, NA, NA, NA, NA, NA, NA
D98,Free,93.5,97.5,1.5,98.2,0.8,98.5,91.2,96.7,1.7,97.3,1.3,98.3
D98,Iso,92.7,97.2,2.1,98.0,1.3,99.0,86.5,96.6,2.2,97.5,1.5,98.3
D98,None,67.5,90.2,8.9,92.8,6.8,97.8,40.5,89.5,9.0,91.3,8.8,99.0
D2,Plan,105.8,106.9,0.7,107.1,1.0,108.0, NA, NA, NA, NA, NA, NA
D2,Free,106.3,108.0,1.1,107.9,0.8,110.2,107.8,109.7,1.4,109.3,2.0,113.7
D2,Iso,106.3,108.2,1.8,107.6,1.9,112.3,107.7,109.8,2.4,108.8,2.3,122.8
D2,None,105.8,108.4,1.7,108.8,2.2,110.7,106.3,109.8,1.9,109.8,1.5,117.5
